date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:55	94710/94710	---MCZ	200	added ('OK')	text/html	etag:W/%22d7cd987440093838b09f6ba40fa81851%22	https://stmatts.org/bautismo	stmatts.org/bautismo.html	(from https://stmatts.org/)
22:47:56	96625/96625	---MCZ	200	added ('OK')	text/html	etag:W/%22aae102e2665977bb8d33a6918dd70068%22	https://stmatts.org/reconciliation	stmatts.org/reconciliation.html	(from https://stmatts.org/)
22:47:57	95693/95693	---MCZ	200	added ('OK')	text/html	etag:W/%2240fc740f0afaeed035768bbd03638890%22	https://stmatts.org/eucharist	stmatts.org/eucharist.html	(from https://stmatts.org/)
22:47:58	94430/94430	---MCZ	200	added ('OK')	text/html	etag:W/%2287eac209040adea016deee72d42d3a0c%22	https://stmatts.org/confirmation	stmatts.org/confirmation.html	(from https://stmatts.org/)
22:47:59	93869/93869	---MCZ	200	added ('OK')	text/html	etag:W/%22dcc02cd887682952dff1a747998936be%22	https://stmatts.org/confirmacion-en-espanol	stmatts.org/confirmacion-en-espanol.html	(from https://stmatts.org/)
22:48:00	95428/95428	---MCZ	200	added ('OK')	text/html	etag:W/%22866a9d47e4a669edb4c34f9ba6a980c0%22	https://stmatts.org/marriage	stmatts.org/marriage.html	(from https://stmatts.org/)
22:48:01	93447/93447	---MCZ	200	added ('OK')	text/html	etag:W/%22b7bb0195c02aa770194e7d7726e24c4e%22	https://stmatts.org/holyorders	stmatts.org/holyorders.html	(from https://stmatts.org/)
22:48:02	93139/93139	---MCZ	200	added ('OK')	text/html	etag:W/%229062ed133d31b4a0f05d82bd7a4f6a5b%22	https://stmatts.org/anointingofthesick	stmatts.org/anointingofthesick.html	(from https://stmatts.org/)
22:48:03	95197/95197	---MCZ	200	added ('OK')	text/html	etag:W/%225b4261571272dd53be63bf395d1eb6db%22	https://stmatts.org/sacramental-certificates	stmatts.org/sacramental-certificates.html	(from https://stmatts.org/)
22:48:04	95299/95299	---MCZ	200	added ('OK')	text/html	etag:W/%2245744bdd39afddcb98ed01d260967ff0%22	https://stmatts.org/childrens-programs	stmatts.org/childrens-programs.html	(from https://stmatts.org/)
22:48:05	93115/93115	---MCZ	200	added ('OK')	text/html	etag:W/%225d41286e7e7ab5fadab1a2ded7f041f8%22	https://stmatts.org/children	stmatts.org/children.html	(from https://stmatts.org/)
22:48:06	134746/134746	---MCZ	200	added ('OK')	text/html	etag:W/%22ab9767142bd69e03595b1d5950909850%22	https://stmatts.org/religiouseducation	stmatts.org/religiouseducation.html	(from https://stmatts.org/)
22:48:07	98315/98315	---MCZ	200	added ('OK')	text/html	etag:W/%221f12d3d3f420b619bf2307e61f367619%22	https://stmatts.org/catecismo-en-espanol-1	stmatts.org/catecismo-en-espanol-1.html	(from https://stmatts.org/)
22:48:08	92710/92710	---MCZ	200	added ('OK')	text/html	etag:W/%22395cf68a65b059a3140cecbdb0d67d5d%22	https://stmatts.org/biblestorytime	stmatts.org/biblestorytime.html	(from https://stmatts.org/)
22:48:09	95091/95091	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:08%20GMT	https://stmatts.org/childrens-amp-youth-organizations	stmatts.org/childrens-amp-youth-organizations.html	(from https://stmatts.org/)
22:48:10	95245/95245	---MCZ	200	added ('OK')	text/html	etag:W/%224670fb7a0052c1c97efcd1ba53719aae%22	https://stmatts.org/youth-programs	stmatts.org/youth-programs.html	(from https://stmatts.org/)
22:48:11	102504/102504	---MCZ	200	added ('OK')	text/html	etag:W/%22fadd04f76ba9180d8e052ebb84f14528%22	https://stmatts.org/highschoolconfirmation	stmatts.org/highschoolconfirmation.html	(from https://stmatts.org/)
22:48:12	115514/115514	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:11%20GMT	https://stmatts.org/youth-ministry	stmatts.org/youth-ministry.html	(from https://stmatts.org/)
22:48:13	99633/99633	---MCZ	200	added ('OK')	text/html	etag:W/%22ad9f2b00302df3d90b0a87277a91720e%22	https://stmatts.org/middleschoolgroup	stmatts.org/middleschoolgroup.html	(from https://stmatts.org/)
22:48:14	103075/103075	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:13%20GMT	https://stmatts.org/highschoolyouth	stmatts.org/highschoolyouth.html	(from https://stmatts.org/)
22:48:15	99056/99056	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:14%20GMT	https://stmatts.org/quince	stmatts.org/quince.html	(from https://stmatts.org/)
22:48:16	96472/96472	---MCZ	200	added ('OK')	text/html	etag:W/%22d43b81ad0c44c41105edbb8da7adce42%22	https://stmatts.org/adult-programs	stmatts.org/adult-programs.html	(from https://stmatts.org/)
22:48:17	99882/99882	---MCZ	200	added ('OK')	text/html	etag:W/%2282831529d2b76a838348f8c8e44bcdbd%22	https://stmatts.org/adultformation	stmatts.org/adultformation.html	(from https://stmatts.org/)
